"","TAGA","TAGB","MeetingTree","MeetingDate","prop_A_vis_B","prop_A_first","n_shared_trees","n_shared_new_trees","A_future_trees","min_nights","A_future_species"
"1","5017","5013","unknown_331",2018-06-28,0,0.5,2,0,2,"yes","c(""Ficus religiosa"", ""Ficus"", ""Ficus sycomorus"")"
"2","5018","5013","unknown_331",2018-06-28,0,0.8,5,0,1,"yes","c(""Ficus religiosa"", ""Ficus sycomorus"")"
"3","5016","5013","Ficus religiosa_17",2018-06-29,0,0.5,6,0,1,"yes","Ficus religiosa"
"4","5018","5015","Mulberry_768",2018-06-29,1,0.25,4,1,1,"yes","c(""Ficus religiosa"", ""Ficus sycomorus"")"
"5","5013","5015","None",2018-06-29,0.5,0.6,5,1,2,"yes","Ficus religiosa"
"6","5016","5015","None",2018-07-01,0,0.5,2,0,1,"yes","Ficus religiosa"
"7","5017","5016","unknown_331",2018-06-28,0,1,3,0,2,"no","c(""Ficus religiosa"", ""Ficus"", ""Ficus sycomorus"")"
"8","5018","5016","unknown_331",2018-06-28,0,0.8,5,0,1,"yes","c(""Ficus religiosa"", ""Ficus sycomorus"")"
"9","5013","5016","Ficus religiosa_17",2018-06-29,0.5,0.5,6,1,2,"no","Ficus religiosa"
"10","5018","5017","unknown_331",2018-06-28,0,0.33,3,0,1,"no","c(""Ficus religiosa"", ""Ficus sycomorus"")"
"11","5013","5017","unknown_331",2018-06-28,0,0.5,2,0,2,"no","Ficus religiosa"
"12","5016","5017","unknown_331",2018-06-28,0,0,3,0,2,"no","Ficus religiosa"
"13","5019","5017","Mulberry_350",2018-06-28,0.5,0.25,4,1,2,"no","c(""Ficus religiosa"", ""Ficus sycomorus"")"
"14","5017","5018","unknown_331",2018-06-28,0,0.67,3,0,2,"no","c(""Ficus religiosa"", ""Ficus"", ""Ficus sycomorus"")"
"15","5013","5018","unknown_331",2018-06-28,0.5,0.2,5,1,2,"no","Ficus religiosa"
"16","5016","5018","unknown_331",2018-06-28,0.5,0.2,5,1,2,"no","Ficus religiosa"
"17","5017","5019","Mulberry_350",2018-06-28,0,0.75,4,0,2,"no","c(""Ficus religiosa"", ""Ficus"", ""Ficus sycomorus"")"
"18","5018","5019","unknown_331",2018-06-30,1,0.33,6,1,1,"no","c(""Ficus religiosa"", ""Ficus sycomorus"")"
"19","5013","5019","Ficus religiosa_17",2018-06-29,0.5,0.5,4,1,2,"no","Ficus religiosa"
"20","5016","5019","Ficus religiosa_17",2018-06-29,1,0.5,4,1,1,"no","Ficus religiosa"
"21","5018","5021","Ficus religiosa_19",2018-06-28,0,0.33,3,0,1,"no","c(""Ficus religiosa"", ""Ficus sycomorus"")"
"22","5013","5021","Ficus religiosa_19",2018-06-30,0,0,1,0,1,"no","Ficus religiosa"
"23","5016","5021","Ficus religiosa_19",2018-07-01,0,0,2,0,1,"yes","Ficus religiosa"
"24","5019","5021","Ficus religiosa_19",2018-06-28,0,0.5,2,0,2,"no","c(""Ficus religiosa"", ""Ficus sycomorus"")"
"25","5018","5022","Ficus religiosa_19",2018-06-28,1,0.14,7,1,1,"no","c(""Ficus religiosa"", ""Ficus sycomorus"")"
"26","5013","5022","Ficus religiosa_19",2018-06-30,0,0,4,0,1,"no","Ficus religiosa"
"27","5016","5022","unknown_1091",2018-06-28,0.5,0,3,1,2,"no","Ficus religiosa"
"28","5019","5022","Ficus religiosa_19",2018-06-28,0.5,0.2,5,1,2,"no","c(""Ficus religiosa"", ""Ficus sycomorus"")"
"29","5473","5056","None",2018-11-23,1,0.6,5,1,1,"yes","Ficus religiosa"
"30","5483","5056","None",2018-11-25,0,0.75,4,0,1,"yes","Ficus religiosa"
"31","5150","5153","None",2018-07-25,0,1,2,0,1,"yes","Ficus religiosa"
"32","5153","5154","Ficus carica_804",2018-07-19,1,0.14,7,1,1,"yes","Ficus sycomorus"
"33","5150","5154","None",2018-07-20,1,0,4,1,1,"no","Ficus sycomorus"
"34","5473","5425","None",2018-11-25,0,1,7,0,1,"yes","Ficus religiosa"
"35","5597","5425","None",2018-11-25,0.5,1,2,1,2,"no","c(""Ficus religiosa"", ""Ficus sycomorus"")"
"36","5483","5425","None",2018-11-25,1,1,6,1,1,"yes","Ficus religiosa"
"37","5473","5462","Ficus religiosa_19",2018-11-24,0,0.5,4,0,1,"no","Ficus religiosa"
"38","5597","5462","Melia azedarach_640",2018-11-30,0,0.75,4,0,1,"yes","c(""Ficus religiosa"", ""Ficus sycomorus"")"
"39","5483","5462","None",2018-11-23,0,0.75,4,0,1,"no","Ficus religiosa"
"40","5597","5473","None",2018-11-23,0.5,0.75,4,1,2,"yes","c(""Ficus religiosa"", ""Ficus sycomorus"")"
"41","5483","5473","None",2018-11-23,0,0.36,11,0,1,"yes","Ficus religiosa"
"42","5476","5473","None",2018-11-24,1,0.17,6,1,1,"yes","Ficus religiosa"
"43","5473","5476","None",2018-11-24,0,0.83,6,0,1,"yes","Ficus religiosa"
"44","5597","5476","None",2018-11-25,0.5,1,2,1,2,"yes","c(""Ficus religiosa"", ""Ficus sycomorus"")"
"45","5486","5476","unknown_95",2018-12-05,0,0.33,3,0,1,"yes","Ficus religiosa"
"46","5483","5476","None",2018-11-25,1,0.75,4,1,1,"yes","Ficus religiosa"
"47","5462","5479","None",2018-11-23,0,0,3,0,1,"yes","Ficus religiosa"
"48","5473","5479","None",2018-11-24,0,0.33,3,0,1,"yes","Ficus religiosa"
"49","5597","5479","None",2018-11-22,0,0.33,3,0,2,"yes","c(""Ficus religiosa"", ""Ficus sycomorus"")"
"50","5480","5479","None",2018-11-23,0,0.25,4,0,1,"yes","Ficus religiosa"
"51","5483","5479","None",2018-11-23,0,0,2,0,1,"yes","Ficus religiosa"
"52","5473","5480","Ficus religiosa_19",2018-11-25,0,1,1,0,1,"no","Ficus religiosa"
"53","5597","5480","None",2018-11-24,0,0.5,2,0,1,"yes","c(""Ficus religiosa"", ""Ficus sycomorus"")"
"54","5483","5480","None",2018-11-24,0.5,1,1,1,2,"no","Ficus religiosa"
"55","5462","5483","None",2018-11-23,1,0.25,4,1,1,"yes","Ficus religiosa"
"56","5473","5483","None",2018-11-23,0,0.64,11,0,1,"yes","Ficus religiosa"
"57","5597","5483","Persimmon_32",2018-11-23,0.5,0.5,6,1,2,"yes","c(""Ficus religiosa"", ""Ficus sycomorus"")"
"58","5473","5486","None",2018-11-29,0,1,3,0,1,"yes","Ficus religiosa"
"59","5480","5486","None",2018-11-23,0,0.5,4,0,1,"yes","Ficus religiosa"
"60","5483","5486","None",2018-11-23,0,0.83,6,0,1,"yes","Ficus religiosa"
"61","5462","5589","Melia azedarach_437",2018-11-23,0,0.8,5,0,1,"yes","Ficus religiosa"
"62","5483","5589","Melia azedarach_437",2018-11-23,0,0.4,5,0,1,"yes","Ficus religiosa"
"63","5473","5597","None",2018-11-23,0,0.25,4,0,1,"yes","Ficus religiosa"
"64","5486","5597","None",2018-12-07,0,0,2,0,1,"yes","Ficus religiosa"
"65","5483","5597","Persimmon_32",2018-11-23,0,0.5,6,0,1,"yes","Ficus religiosa"
"66","5751","5599","None",2019-09-25,0,0.33,3,0,1,"no","Ficus religiosa"
"67","5685","5599","None",2019-09-25,0,0.5,2,0,1,"no","Ficus religiosa"
"68","5745","5667","None",2019-11-06,0,0.38,8,0,1,"yes","Ficus religiosa"
"69","6026","5667","None",2019-11-06,0,0.71,7,0,1,"yes","c(""Ficus sycomorus"", ""Ficus religiosa"")"
"70","5761","5667","None",2019-12-06,0,1,1,0,1,"yes","Ficus religiosa"
"71","5778","5667","unknown_91",2019-11-20,0,0.5,4,0,1,"yes","Ficus religiosa"
"72","6246","5667","None",2019-11-07,0,0.5,4,0,3,"yes","Ficus religiosa"
"73","5744","5667","unknown_3641",2019-11-06,0,0.36,11,0,2,"yes","Ficus religiosa"
"74","5764","5685","None",2019-09-24,0,0.8,10,0,1,"yes","Ficus religiosa"
"75","5751","5685","None",2019-09-24,0,0.83,6,0,1,"yes","Ficus religiosa"
"76","5745","5685","None",2019-09-24,0,0.36,11,0,1,"yes","Ficus religiosa"
"77","5743","5685","None",2019-09-24,0,0.45,11,0,1,"yes","Ficus religiosa"
"78","5737","5720","None",2019-06-30,1,0,2,1,1,"no","Ficus religiosa"
"79","5764","5727","Mulberry_725",2019-06-02,0,1,2,0,1,"yes","Ficus religiosa"
"80","5779","5727","Ficus microcarpa_37",2019-06-09,0,0.67,3,0,1,"yes","c(""Ficus microcarpa"", ""Ficus religiosa"")"
"81","5777","5727","Mulberry_655",2019-05-30,0,0.6,5,0,3,"yes","c(""Ficus microcarpa"", ""Ficus sycomorus"")"
"82","6125","5737","None",2019-06-30,0,0,1,0,1,"yes","Ficus religiosa"
"83","6123","5737","None",2019-07-12,0,0,1,0,1,"yes","Ficus religiosa"
"84","5742","5737","Mulberry_655",2019-06-28,0,1,1,0,3,"yes","Ficus religiosa"
"85","6125","5742","None",2019-06-26,0,0.67,6,0,1,"yes","Ficus religiosa"
"86","5737","5742","Mulberry_655",2019-06-28,0,0,1,0,1,"yes","Ficus religiosa"
"87","5745","5743","None",2019-09-26,0,0,3,0,1,"yes","Ficus religiosa"
"88","5685","5743","None",2019-09-24,0,0.55,11,0,1,"yes","Ficus religiosa"
"89","5771","5744","None",2019-11-06,0,0.5,2,0,1,"yes","Ficus sycomorus"
"90","6026","5744","None",2019-11-08,0.5,0.8,5,1,2,"yes","c(""Ficus religiosa"", ""Ficus sycomorus"")"
"91","5667","5744","unknown_3641",2019-11-06,0,0.64,11,0,1,"yes","Ficus religiosa"
"92","5778","5744","None",2019-11-09,1,0.33,9,1,1,"yes","Ficus religiosa"
"93","6246","5744","unknown_463",2019-11-07,0,0.45,11,0,3,"yes","Ficus religiosa"
"94","5751","5745","None",2019-08-29,0,0.8,15,0,1,"yes","Ficus religiosa"
"95","5685","5745","None",2019-09-24,0,0.64,11,0,1,"yes","Ficus religiosa"
"96","6026","5745","None",2019-11-06,0,0.6,5,0,1,"yes","c(""Ficus sycomorus"", ""Ficus religiosa"")"
"97","5667","5745","None",2019-11-06,0,0.62,8,0,1,"yes","Ficus religiosa"
"98","5761","5745","unknown_3242",2019-12-09,0,0.17,6,0,1,"yes","Ficus religiosa"
"99","5764","5748","Mulberry_755",2019-09-07,0,0.6,5,0,1,"yes","Ficus religiosa"
"100","5745","5748","None",2019-09-26,0,0,4,0,1,"yes","Ficus religiosa"
"101","5685","5748","Mulberry_378",2019-09-25,1,0,5,1,1,"yes","Ficus religiosa"
"102","6181","5749","Loquat_443",2019-11-06,0,0.25,4,0,1,"no","Ficus religiosa"
"103","5781","5749","Loquat_443",2019-11-06,0,0.5,4,0,2,"no","c(""Ficus sycomorus"", ""Ficus religiosa"", ""Ficus microcarpa"")"
"104","6267","5749","None",2019-11-08,0,0,2,0,2,"no","Ficus microcarpa"
"105","6265","5749","None",2019-11-18,0,0,2,0,1,"no","Ficus religiosa"
"106","6246","5749","Loquat_443",2019-11-06,0,0,2,0,1,"no","Ficus religiosa"
"107","5685","5751","None",2019-09-24,0,0.17,6,0,1,"yes","Ficus religiosa"
"108","5771","5751","None",2019-11-06,0,0,2,0,1,"yes","Ficus sycomorus"
"109","6026","5751","None",2019-11-06,0,0.14,7,0,1,"yes","c(""Ficus sycomorus"", ""Ficus religiosa"")"
"110","5667","5751","None",2019-11-07,0,0.14,7,0,1,"yes","Ficus religiosa"
"111","5778","5751","Ficus carica_673",2019-11-06,0,0.29,14,0,1,"yes","Ficus religiosa"
"112","6246","5751","unknown_642",2019-11-10,0,0,10,0,4,"yes","c(""Ficus religiosa"", ""Ficus microcarpa"")"
"113","5777","5760","Washingtonia_428",2019-06-03,0,0.67,3,0,3,"yes","c(""Ficus microcarpa"", ""Ficus sycomorus"")"
"114","6125","5760","None",2019-06-30,0,0,1,0,1,"yes","Ficus religiosa"
"115","6123","5760","unknown_3311",2019-07-12,0,0,2,0,1,"yes","Ficus religiosa"
"116","5742","5760","Mulberry_655",2019-06-26,0,0,2,0,1,"yes","Ficus religiosa"
"117","5737","5760","Mulberry_655",2019-06-28,0,0,2,0,1,"yes","Ficus religiosa"
"118","6181","5761","None",2019-11-10,0,0,1,0,1,"yes","Ficus religiosa"
"119","5781","5761","None",2019-11-08,0,1,2,0,1,"yes","c(""Ficus sycomorus"", ""Ficus religiosa"", ""Ficus microcarpa"")"
"120","6267","5761","unknown_3732",2019-11-10,0,0.25,4,0,2,"yes","Ficus microcarpa"
"121","6265","5761","unknown_1435",2019-11-16,0,0.33,9,0,2,"yes","Ficus religiosa"
"122","5778","5761","None",2019-11-07,0,0.5,4,0,1,"yes","Ficus religiosa"
"123","5744","5761","None",2019-11-11,0,0.57,7,0,1,"yes","Ficus religiosa"
"124","5727","5764","Mulberry_725",2019-06-02,0,0,2,0,1,"yes","Ficus microcarpa"
"125","5742","5764","Ficus religiosa_20",2019-07-04,0.5,0,5,1,2,"yes","Ficus religiosa"
"126","5743","5764","None",2019-09-23,0,0.33,3,0,1,"yes","Ficus religiosa"
"127","5685","5764","None",2019-09-24,0,0.2,10,0,1,"yes","Ficus religiosa"
"128","5745","5771","None",2019-11-12,0,1,1,0,1,"no","Ficus religiosa"
"129","6181","5771","None",2019-11-07,0,0.5,2,0,1,"yes","Ficus religiosa"
"130","5781","5771","unknown_1432",2019-11-07,0,1,2,0,1,"yes","c(""Ficus sycomorus"", ""Ficus religiosa"", ""Ficus microcarpa"")"
"131","6267","5771","None",2019-11-25,0,0,2,0,2,"yes","Ficus microcarpa"
"132","6246","5771","None",2019-11-07,0,0.33,3,0,3,"yes","Ficus religiosa"
"133","5744","5771","None",2019-11-06,0,0.5,2,0,2,"yes","Ficus religiosa"
"134","5727","5777","Mulberry_655",2019-05-30,0,0.4,5,0,1,"yes","Ficus microcarpa"
"135","5779","5777","None",2019-06-09,0,0,1,0,1,"yes","c(""Ficus microcarpa"", ""Ficus religiosa"")"
"136","6125","5777","None",2019-06-30,0,0,1,0,1,"yes","Ficus religiosa"
"137","6123","5777","None",2019-07-12,0,0,1,0,1,"yes","Ficus religiosa"
"138","5742","5777","None",2019-06-26,0,0,4,0,1,"yes","Ficus religiosa"
"139","5737","5777","Mulberry_655",2019-06-28,1,0,3,1,1,"yes","Ficus religiosa"
"140","6245","5778","None",2019-11-06,0,0.33,3,0,1,"no","Ficus sycomorus"
"141","5667","5778","unknown_91",2019-11-20,0,0.5,4,0,1,"yes","Ficus religiosa"
"142","6251","5778","None",2019-11-28,0,0,1,0,1,"yes","c(""Ficus religiosa"", ""Ficus microcarpa"")"
"143","6246","5778","Ficus carica_414",2019-11-14,0.25,0.56,9,1,4,"yes","c(""Ficus religiosa"", ""Ficus microcarpa"")"
"144","5764","5779","None",2019-09-15,0,0,3,0,1,"yes","Ficus religiosa"
"145","5777","5779","None",2019-06-09,1,1,1,1,1,"yes","Ficus microcarpa"
"146","5749","5781","Loquat_443",2019-11-06,0,0.5,4,0,1,"yes","Ficus religiosa"
"147","6267","5781","Mulberry_288",2019-11-11,0,0.2,5,0,2,"yes","Ficus microcarpa"
"148","6265","5781","None",2019-11-16,0.5,0,2,1,2,"yes","Ficus religiosa"
"149","6251","5781","None",2019-11-06,0,0.17,6,0,1,"yes","Ficus religiosa"
"150","6246","5781","Loquat_443",2019-11-06,0,0.33,3,0,1,"yes","Ficus religiosa"
"151","5745","6026","None",2019-11-06,0,0.4,5,0,1,"yes","Ficus religiosa"
"152","5667","6026","None",2019-11-06,0,0.29,7,0,1,"yes","Ficus religiosa"
"153","5778","6026","unknown_91",2019-11-13,0,0.25,4,0,2,"yes","Ficus religiosa"
"154","6246","6026","None",2019-11-14,0,0,3,0,4,"yes","c(""Ficus religiosa"", ""Ficus microcarpa"")"
